"Census Tract","FIPS Code","Formatted FIPS","Life expectancy at birth, as of 2010-2015."
"37179020312, NC","37179020312","=""37179020312""","80.3"
"37179020313, NC","37179020313","=""37179020313""","78.4"
"37179020314, NC","37179020314","=""37179020314""","79.8"
"37179020315, NC","37179020315","=""37179020315""","N/A"
"37179020316, NC","37179020316","=""37179020316""","79.9"
"37179020317, NC","37179020317","=""37179020317""","79.9"
"37179020401, NC","37179020401","=""37179020401""","78.8"
"37179020403, NC","37179020403","=""37179020403""","76.5"
"37179020404, NC","37179020404","=""37179020404""","73.8"
"37179020501, NC","37179020501","=""37179020501""","77.3"
"37179020502, NC","37179020502","=""37179020502""","77.4"
"37179020601, NC","37179020601","=""37179020601""","77.0"
"37179020602, NC","37179020602","=""37179020602""","74.5"
"37179020701, NC","37179020701","=""37179020701""","76.7"
"37179020702, NC","37179020702","=""37179020702""","75.0"
"37179020800, NC","37179020800","=""37179020800""","77.4"
"37179020901, NC","37179020901","=""37179020901""","75.9"
"37179020902, NC","37179020902","=""37179020902""","76.0"
"37179021004, NC","37179021004","=""37179021004""","79.9"
"37179021005, NC","37179021005","=""37179021005""","78.0"
"37179021006, NC","37179021006","=""37179021006""","80.7"
"37179021007, NC","37179021007","=""37179021007""","N/A"
"37179021008, NC","37179021008","=""37179021008""","85.1"
"37179021009, NC","37179021009","=""37179021009""","N/A"
"37179021010, NC","37179021010","=""37179021010""","83.1"
"37179021011, NC","37179021011","=""37179021011""","N/A"
"37179021012, NC","37179021012","=""37179021012""","80.7"
"37179021013, NC","37179021013","=""37179021013""","N/A"
"37179021014, NC","37179021014","=""37179021014""","77.5"
"37179021015, NC","37179021015","=""37179021015""","79.6"
"45023020100, SC","45023020100","=""45023020100""","74.5"
"45023020200, SC","45023020200","=""45023020200""","73.8"
"45023020300, SC","45023020300","=""45023020300""","73.8"
"45023020400, SC","45023020400","=""45023020400""","71.6"
"45023020500, SC","45023020500","=""45023020500""","72.1"
"45023020601, SC","45023020601","=""45023020601""","79.3"
"45023020602, SC","45023020602","=""45023020602""","72.7"
"45023020700, SC","45023020700","=""45023020700""","79.1"
"45023020800, SC","45023020800","=""45023020800""","74.2"
"45023020900, SC","45023020900","=""45023020900""","69.9"
"45023021000, SC","45023021000","=""45023021000""","70.3"
"45057010100, SC","45057010100","=""45057010100""","73.9"
"45057010200, SC","45057010200","=""45057010200""","76.9"
"45057010300, SC","45057010300","=""45057010300""","75.8"
"45057010400, SC","45057010400","=""45057010400""","70.8"
"45057010500, SC","45057010500","=""45057010500""","71.6"
"45057010600, SC","45057010600","=""45057010600""","74.5"
"45057010700, SC","45057010700","=""45057010700""","72.9"
"45057010800, SC","45057010800","=""45057010800""","73.8"
"45057010900, SC","45057010900","=""45057010900""","75.8"
"45057011001, SC","45057011001","=""45057011001""","N/A"
"45057011002, SC","45057011002","=""45057011002""","74.1"
"45057011100, SC","45057011100","=""45057011100""","77.3"
"45057011201, SC","45057011201","=""45057011201""","81.7"
"45057011202, SC","45057011202","=""45057011202""","81.9"
"45091060102, SC","45091060102","=""45091060102""","77.5"
"45091060200, SC","45091060200","=""45091060200""","71.9"
"45091060300, SC","45091060300","=""45091060300""","73.5"
"45091060401, SC","45091060401","=""45091060401""","67.6"
"45091060402, SC","45091060402","=""45091060402""","74.8"
"45091060501, SC","45091060501","=""45091060501""","71.2"
"45091060502, SC","45091060502","=""45091060502""","71.4"
"45091060600, SC","45091060600","=""45091060600""","N/A"
"45091060700, SC","45091060700","=""45091060700""","67.8"
"45091060802, SC","45091060802","=""45091060802""","76.9"
"45091060803, SC","45091060803","=""45091060803""","78.1"
"45091060804, SC","45091060804","=""45091060804""","75.5"
"45091060901, SC","45091060901","=""45091060901""","76.9"
"45091060904, SC","45091060904","=""45091060904""","80.8"
"45091060905, SC","45091060905","=""45091060905""","77.1"
"45091060906, SC","45091060906","=""45091060906""","81.3"
"45091060907, SC","45091060907","=""45091060907""","81.9"
"45091061003, SC","45091061003","=""45091061003""","84.5"
"45091061004, SC","45091061004","=""45091061004""","81.8"
"45091061005, SC","45091061005","=""45091061005""","82.3"
"45091061006, SC","45091061006","=""45091061006""","80.0"
"45091061007, SC","45091061007","=""45091061007""","84.6"
"45091061008, SC","45091061008","=""45091061008""","84.3"
"45091061101, SC","45091061101","=""45091061101""","74.7"
"45091061103, SC","45091061103","=""45091061103""","78.7"
"45091061104, SC","45091061104","=""45091061104""","77.3"
"45091061201, SC","45091061201","=""45091061201""","76.2"
"45091061202, SC","45091061202","=""45091061202""","75.2"
"45091061203, SC","45091061203","=""45091061203""","75.9"
"45091061301, SC","45091061301","=""45091061301""","78.3"
"45091061302, SC","45091061302","=""45091061302""","75.8"
"45091061401, SC","45091061401","=""45091061401""","75.0"
"45091061403, SC","45091061403","=""45091061403""","78.6"
"45091061404, SC","45091061404","=""45091061404""","81.7"
"45091061501, SC","45091061501","=""45091061501""","78.5"
"45091061502, SC","45091061502","=""45091061502""","81.5"
"45091061601, SC","45091061601","=""45091061601""","74.1"
"45091061602, SC","45091061602","=""45091061602""","72.9"
"45091061701, SC","45091061701","=""45091061701""","80.5"
"45091061705, SC","45091061705","=""45091061705""","77.7"
"45091061706, SC","45091061706","=""45091061706""","76.8"
"45091061707, SC","45091061707","=""45091061707""","80.0"
"45091061708, SC","45091061708","=""45091061708""","79.6"
"45091061801, SC","45091061801","=""45091061801""","74.3"
"45091061802, SC","45091061802","=""45091061802""","73.3"
"45091061900, SC","45091061900","=""45091061900""","74.6"

"Location: Charlotte Region (Custom Region)"

"Census Tract Boundary Year: 2010"

"Indicator source: CDC"
"https://www.policymap.com/data/our-data-directory/#/data/dictionary#CDC%20NCHS%20Small-area%20Life%20Expectancy%20Estimates"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
