"Census Tract","FIPS Code","Formatted FIPS","Life expectancy at birth, as of 2010-2015."
"37071031004, NC","37071031004","=""37071031004""","75.1"
"37071031101, NC","37071031101","=""37071031101""","70.6"
"37071031102, NC","37071031102","=""37071031102""","74.2"
"37071031201, NC","37071031201","=""37071031201""","74.3"
"37071031202, NC","37071031202","=""37071031202""","79.2"
"37071031301, NC","37071031301","=""37071031301""","74.2"
"37071031302, NC","37071031302","=""37071031302""","74.7"
"37071031401, NC","37071031401","=""37071031401""","70.7"
"37071031402, NC","37071031402","=""37071031402""","77.1"
"37071031500, NC","37071031500","=""37071031500""","67.7"
"37071031600, NC","37071031600","=""37071031600""","72.3"
"37071031701, NC","37071031701","=""37071031701""","78.0"
"37071031703, NC","37071031703","=""37071031703""","75.0"
"37071031704, NC","37071031704","=""37071031704""","72.0"
"37071031800, NC","37071031800","=""37071031800""","72.4"
"37071031900, NC","37071031900","=""37071031900""","69.9"
"37071032000, NC","37071032000","=""37071032000""","70.1"
"37071032100, NC","37071032100","=""37071032100""","75.7"
"37071032200, NC","37071032200","=""37071032200""","76.6"
"37071032301, NC","37071032301","=""37071032301""","78.5"
"37071032302, NC","37071032302","=""37071032302""","72.9"
"37071032401, NC","37071032401","=""37071032401""","76.8"
"37071032402, NC","37071032402","=""37071032402""","80.3"
"37071032502, NC","37071032502","=""37071032502""","N/A"
"37071032505, NC","37071032505","=""37071032505""","76.9"
"37071032506, NC","37071032506","=""37071032506""","76.6"
"37071032507, NC","37071032507","=""37071032507""","82.3"
"37071032508, NC","37071032508","=""37071032508""","78.0"
"37071032600, NC","37071032600","=""37071032600""","83.2"
"37071032702, NC","37071032702","=""37071032702""","N/A"
"37071032703, NC","37071032703","=""37071032703""","N/A"
"37071032704, NC","37071032704","=""37071032704""","74.6"
"37071032800, NC","37071032800","=""37071032800""","73.0"
"37071032900, NC","37071032900","=""37071032900""","74.3"
"37071033100, NC","37071033100","=""37071033100""","72.0"
"37071033202, NC","37071033202","=""37071033202""","72.5"
"37071033203, NC","37071033203","=""37071033203""","74.4"
"37071033204, NC","37071033204","=""37071033204""","72.6"
"37071033303, NC","37071033303","=""37071033303""","80.6"
"37071033304, NC","37071033304","=""37071033304""","N/A"
"37071033305, NC","37071033305","=""37071033305""","76.3"
"37071033306, NC","37071033306","=""37071033306""","N/A"
"37071033307, NC","37071033307","=""37071033307""","77.9"
"37071033400, NC","37071033400","=""37071033400""","70.8"
"37071033500, NC","37071033500","=""37071033500""","75.3"
"37097060100, NC","37097060100","=""37097060100""","74.2"
"37097060200, NC","37097060200","=""37097060200""","69.4"
"37097060300, NC","37097060300","=""37097060300""","67.0"
"37097060400, NC","37097060400","=""37097060400""","71.3"
"37097060500, NC","37097060500","=""37097060500""","75.7"
"37097060601, NC","37097060601","=""37097060601""","N/A"
"37097060602, NC","37097060602","=""37097060602""","81.2"
"37097060603, NC","37097060603","=""37097060603""","75.3"
"37097060701, NC","37097060701","=""37097060701""","N/A"
"37097060702, NC","37097060702","=""37097060702""","77.9"
"37097060703, NC","37097060703","=""37097060703""","80.1"
"37097060801, NC","37097060801","=""37097060801""","74.0"
"37097060802, NC","37097060802","=""37097060802""","74.5"
"37097060901, NC","37097060901","=""37097060901""","77.6"
"37097060902, NC","37097060902","=""37097060902""","77.8"
"37097061001, NC","37097061001","=""37097061001""","77.0"
"37097061002, NC","37097061002","=""37097061002""","77.1"
"37097061003, NC","37097061003","=""37097061003""","79.4"
"37097061101, NC","37097061101","=""37097061101""","77.9"
"37097061102, NC","37097061102","=""37097061102""","75.2"
"37097061103, NC","37097061103","=""37097061103""","75.0"
"37097061104, NC","37097061104","=""37097061104""","77.8"
"37097061201, NC","37097061201","=""37097061201""","75.7"
"37097061202, NC","37097061202","=""37097061202""","76.8"
"37097061203, NC","37097061203","=""37097061203""","N/A"
"37097061204, NC","37097061204","=""37097061204""","80.6"
"37097061205, NC","37097061205","=""37097061205""","77.6"
"37097061301, NC","37097061301","=""37097061301""","73.9"
"37097061302, NC","37097061302","=""37097061302""","78.3"
"37097061303, NC","37097061303","=""37097061303""","79.6"
"37097061304, NC","37097061304","=""37097061304""","77.8"
"37097061401, NC","37097061401","=""37097061401""","84.7"
"37097061402, NC","37097061402","=""37097061402""","81.0"
"37097061403, NC","37097061403","=""37097061403""","79.0"
"37097061404, NC","37097061404","=""37097061404""","77.9"
"37097061405, NC","37097061405","=""37097061405""","79.5"
"37097061406, NC","37097061406","=""37097061406""","81.7"
"37097061407, NC","37097061407","=""37097061407""","78.6"
"37097061408, NC","37097061408","=""37097061408""","79.1"
"37097061501, NC","37097061501","=""37097061501""","73.0"
"37097061502, NC","37097061502","=""37097061502""","N/A"
"37097061503, NC","37097061503","=""37097061503""","78.0"
"37097061601, NC","37097061601","=""37097061601""","74.7"
"37097061602, NC","37097061602","=""37097061602""","75.7"
"37109070100, NC","37109070100","=""37109070100""","74.0"
"37109070201, NC","37109070201","=""37109070201""","75.0"
"37109070202, NC","37109070202","=""37109070202""","77.2"
"37109070300, NC","37109070300","=""37109070300""","73.9"
"37109070400, NC","37109070400","=""37109070400""","75.2"
"37109070500, NC","37109070500","=""37109070500""","79.3"
"37109070600, NC","37109070600","=""37109070600""","76.4"
"37109070700, NC","37109070700","=""37109070700""","80.5"
"37109070800, NC","37109070800","=""37109070800""","74.1"
"37109070901, NC","37109070901","=""37109070901""","80.3"
"37109070902, NC","37109070902","=""37109070902""","76.9"
"37109071001, NC","37109071001","=""37109071001""","74.7"
"37109071002, NC","37109071002","=""37109071002""","74.7"
"37109071101, NC","37109071101","=""37109071101""","76.9"
"37109071102, NC","37109071102","=""37109071102""","81.9"
"37109071201, NC","37109071201","=""37109071201""","78.9"
"37109071202, NC","37109071202","=""37109071202""","82.4"
"37109071203, NC","37109071203","=""37109071203""","78.6"
"37119000100, NC","37119000100","=""37119000100""","N/A"
"37119000300, NC","37119000300","=""37119000300""","N/A"
"37119000400, NC","37119000400","=""37119000400""","N/A"
"37119000500, NC","37119000500","=""37119000500""","77.5"
"37119000600, NC","37119000600","=""37119000600""","77.8"
"37119000700, NC","37119000700","=""37119000700""","N/A"
"37119000800, NC","37119000800","=""37119000800""","72.0"
"37119000900, NC","37119000900","=""37119000900""","69.2"
"37119001000, NC","37119001000","=""37119001000""","78.7"
"37119001100, NC","37119001100","=""37119001100""","79.3"
"37119001200, NC","37119001200","=""37119001200""","76.5"
"37119001300, NC","37119001300","=""37119001300""","73.5"
"37119001400, NC","37119001400","=""37119001400""","N/A"
"37119001504, NC","37119001504","=""37119001504""","78.6"
"37119001505, NC","37119001505","=""37119001505""","78.3"
"37119001507, NC","37119001507","=""37119001507""","75.8"
"37119001508, NC","37119001508","=""37119001508""","78.9"
"37119001509, NC","37119001509","=""37119001509""","77.4"
"37119001510, NC","37119001510","=""37119001510""","76.7"
"37119001603, NC","37119001603","=""37119001603""","76.9"
"37119001605, NC","37119001605","=""37119001605""","80.5"
"37119001606, NC","37119001606","=""37119001606""","77.2"
"37119001607, NC","37119001607","=""37119001607""","75.3"
"37119001608, NC","37119001608","=""37119001608""","74.4"
"37119001609, NC","37119001609","=""37119001609""","75.6"
"37119001701, NC","37119001701","=""37119001701""","83.2"
"37119001702, NC","37119001702","=""37119001702""","79.6"
"37119001801, NC","37119001801","=""37119001801""","N/A"
"37119001802, NC","37119001802","=""37119001802""","74.4"
"37119001910, NC","37119001910","=""37119001910""","75.6"
"37119001911, NC","37119001911","=""37119001911""","N/A"
"37119001912, NC","37119001912","=""37119001912""","80.5"
"37119001914, NC","37119001914","=""37119001914""","79.2"
"37119001915, NC","37119001915","=""37119001915""","N/A"
"37119001916, NC","37119001916","=""37119001916""","72.7"
"37119001917, NC","37119001917","=""37119001917""","79.6"
"37119001918, NC","37119001918","=""37119001918""","73.1"
"37119001919, NC","37119001919","=""37119001919""","75.6"
"37119001920, NC","37119001920","=""37119001920""","74.1"
"37119001921, NC","37119001921","=""37119001921""","78.2"
"37119001922, NC","37119001922","=""37119001922""","81.1"
"37119001923, NC","37119001923","=""37119001923""","75.6"
"37119002002, NC","37119002002","=""37119002002""","80.4"
"37119002003, NC","37119002003","=""37119002003""","82.7"
"37119002004, NC","37119002004","=""37119002004""","80.3"
"37119002100, NC","37119002100","=""37119002100""","74.2"
"37119002200, NC","37119002200","=""37119002200""","81.4"
"37119002300, NC","37119002300","=""37119002300""","71.1"
"37119002400, NC","37119002400","=""37119002400""","80.2"
"37119002500, NC","37119002500","=""37119002500""","N/A"
"37119002600, NC","37119002600","=""37119002600""","79.7"
"37119002701, NC","37119002701","=""37119002701""","81.5"
"37119002702, NC","37119002702","=""37119002702""","80.4"
"37119002800, NC","37119002800","=""37119002800""","83.5"
"37119002903, NC","37119002903","=""37119002903""","N/A"
"37119002904, NC","37119002904","=""37119002904""","81.0"
"37119002905, NC","37119002905","=""37119002905""","80.9"
"37119002906, NC","37119002906","=""37119002906""","80.4"
"37119003006, NC","37119003006","=""37119003006""","83.3"
"37119003007, NC","37119003007","=""37119003007""","83.3"
"37119003008, NC","37119003008","=""37119003008""","81.8"
"37119003011, NC","37119003011","=""37119003011""","82.8"
"37119003012, NC","37119003012","=""37119003012""","82.0"
"37119003013, NC","37119003013","=""37119003013""","83.7"
"37119003015, NC","37119003015","=""37119003015""","86.5"
"37119003016, NC","37119003016","=""37119003016""","80.4"
"37119003017, NC","37119003017","=""37119003017""","80.1"
"37119003018, NC","37119003018","=""37119003018""","86.1"
"37119003102, NC","37119003102","=""37119003102""","77.6"
"37119003103, NC","37119003103","=""37119003103""","78.3"
"37119003105, NC","37119003105","=""37119003105""","84.1"
"37119003106, NC","37119003106","=""37119003106""","83.7"
"37119003108, NC","37119003108","=""37119003108""","77.5"
"37119003109, NC","37119003109","=""37119003109""","N/A"
"37119003201, NC","37119003201","=""37119003201""","77.7"
"37119003203, NC","37119003203","=""37119003203""","77.6"
"37119003204, NC","37119003204","=""37119003204""","80.2"
"37119003300, NC","37119003300","=""37119003300""","76.8"
"37119003400, NC","37119003400","=""37119003400""","82.6"
"37119003500, NC","37119003500","=""37119003500""","80.2"
"37119003600, NC","37119003600","=""37119003600""","72.7"
"37119003700, NC","37119003700","=""37119003700""","N/A"
"37119003802, NC","37119003802","=""37119003802""","71.1"
"37119003805, NC","37119003805","=""37119003805""","N/A"
"37119003806, NC","37119003806","=""37119003806""","77.9"
"37119003807, NC","37119003807","=""37119003807""","74.4"
"37119003808, NC","37119003808","=""37119003808""","74.7"
"37119003902, NC","37119003902","=""37119003902""","77.2"
"37119003903, NC","37119003903","=""37119003903""","72.6"
